date,realReturn
1920.02,1380.89
1920.03,1470.44
1920.04,1422.64
1920.05,1320.98
1920.06,1286.4
1920.07,1298
1920.08,1285.09
1920.09,1358.07
1920.1,1374.05
1920.11,1318.36
1920.12,1232.67
1921.01,1321.85
1921.02,1363.38
1921.03,1343.93
1921.04,1372.83
1921.05,1454.8
1921.06,1354.24
1921.07,1350.72
1921.08,1342.39
1921.09,1399.7
1921.1,1427.02
1921.11,1520.62
1921.12,1591.87
1922.01,1635.94
1922.02,1680.55
1922.03,1773.48
1922.04,1890.28
1922.05,1973.18
1922.06,1964.02
1922.07,1975.61
1922.08,2084.26
1922.09,2148.33
1922.1,2192.46
1922.11,2081.07
1922.12,2074.04
1923.01,2125.04
1923.02,2225.98
1923.03,2272.26
1923.04,2190.08
1923.05,2096.99
1923.06,2015.72
1923.07,1935.78
1923.08,1967.3
1923.09,1978.5
1923.1,1948.7
1923.11,2017.62
1923.12,2096.71
1924.01,2176.24
1924.02,2209.82
1924.03,2191.32
1924.04,2164.87
1924.05,2168.65
1924.06,2221.14
1924.07,2322.05
1924.08,2427.6
1924.09,2401.89
1924.1,2368.71
1924.11,2512.88
1924.12,2644.99
1925.01,2766.36
1925.02,2818.35
1925.03,2740.83
1925.04,2740.11
1925.05,2824.33
1925.06,2854.66
1925.07,2913.42
1925.08,2965.55
1925.09,3046.99
1925.1,3160.64
1925.11,3217.66
1925.12,3301.61
1926.01,3365.37
1926.02,3384.33
1926.03,3186.27
1926.04,3094.02
1926.05,3147.48
1926.06,3330.58
1926.07,3525.63
1926.08,3701.84
1926.09,3752.39
1926.1,3662.8
1926.11,3705.57
1926.12,3806
1927.01,3840.39
1927.02,3954.29
1927.03,4055.52
1927.04,4172.4
1927.05,4309.06
1927.06,4332.79
1927.07,4523.79
1927.08,4810.76
1927.09,5073.12
1927.1,4985.33
1927.11,5147.49
1927.12,5287.55
1928.01,5328.35
1928.02,5346.16
1928.03,5653.55
1928.04,6030.36
1928.05,6201.41
1928.06,5953.08
1928.07,6018.2
1928.08,6234.5
1928.09,6617.02
1928.1,6812.6
1928.11,7295.25
1928.12,7389.09
1929.01,7957.76
1929.02,8022.59
1929.03,8235.54
1929.04,8259.57
1929.05,8358.77
1929.06,8493.13
1929.07,9167.56
1929.08,9713.97
1929.09,10126.52
1929.1,9081.25
1929.11,6703.06
1929.12,7037.14
1930.01,7207.59
1930.02,7731.2
1930.03,8097.54
1930.04,8588.29
1930.05,8150.88
1930.06,7398.38
1930.07,7355.76
1930.08,7334.07
1930.09,7314.94
1930.1,6375.28
1930.11,5978.04
1930.12,5712.66
1931.01,5989.85
1931.02,6559.44
1931.03,6758.21
1931.04,6183.8
1931.05,5690.35
1931.06,5610.81
1931.07,5826.79
1931.08,5681.53
1931.09,4897.16
1931.1,4300.98
1931.11,4448.58
1931.12,3667.88
1932.01,3712.04
1932.02,3761.92
1932.03,3830.99
1932.04,2961.39
1932.05,2663.6
1932.06,2349.61
1932.07,2493.83
1932.08,3801.33
1932.09,4225.55
1932.1,3693.51
1932.11,3707.85
1932.12,3636.34
1933.01,3861.25
1933.02,3479.97
1933.03,3519.05
1933.04,3914.45
1933.05,5061.84
1933.06,5904.75
1933.07,6208.6
1933.08,5875.35
1933.09,5846.67
1933.1,5298.2
1933.11,5446.37
1933.12,5572.6
1934.01,5911.72
1934.02,6321.97
1934.03,6018.64
1934.04,6140.22
1934.05,5536.89
1934.06,5589.17
1934.07,5345.78
1934.08,5157.93
1934.09,4980.04
1934.1,5077.58
1934.11,5240.65
1934.12,5335.72
1935.01,5278.54
1935.02,5102.79
1935.03,4800.2
1935.04,5143.49
1935.05,5568.48
1935.06,5843.07
1935.07,6170.26
1935.08,6608.64
1935.09,6769.45
1935.1,6972.07
1935.11,7594.15
1935.12,7616.96
1936.01,8060.9
